1.224016,126538.0,116120.0
1.234116,126496.0,116099.0
1.243904,126423.0,116060.0
1.254004,126334.0,116031.0
1.264116,126231.0,115980.0
1.2739,126141.0,115942.0
1.28402,126060.0,115912.0
1.294132,125999.0,115887.0
1.303916,125958.0,115875.0
1.314016,125934.0,115864.0
1.324116,125922.0,115861.0
1.333904,125924.0,115861.0
1.344008,125940.0,115862.0
1.353784,125968.0,115876.0
1.363892,126002.0,115891.0
1.374004,126057.0,115909.0
1.383788,126093.0,115930.0
1.393888,126142.0,115949.0
1.403988,126178.0,115961.0
1.413776,126221.0,115986.0
1.423884,126268.0,116008.0
1.433984,126321.0,116026.0
1.443764,126385.0,116043.0
1.453876,126455.0,116076.0
1.463988,126520.0,116101.0
1.473764,126596.0,116128.0
1.483864,126661.0,116160.0
1.493972,126711.0,116184.0
1.503764,126751.0,116198.0
1.513876,126766.0,116198.0
1.523664,126728.0,116181.0
1.533776,126643.0,116136.0
1.543876,126516.0,116076.0
1.55366,126352.0,116009.0
1.563768,126149.0,115922.0
1.573868,125936.0,115830.0
1.583648,125722.0,115748.0
1.59376,125530.0,115667.0
1.603864,125352.0,115599.0
1.613644,125227.0,115557.0
1.623748,125126.0,115524.0
1.633856,125057.0,115494.0
1.643636,125017.0,115483.0
1.65374,124998.0,115482.0
1.663848,125003.0,115487.0
1.673632,125032.0,115494.0
1.683736,125059.0,115513.0
1.69384,125107.0,115530.0
1.70362,125162.0,115548.0
1.713724,125215.0,115570.0
1.723836,125263.0,115588.0
1.733612,125321.0,115606.0
1.743716,125379.0,115624.0
1.753828,125437.0,115653.0
1.763608,125499.0,115675.0
1.773712,125581.0,115707.0
1.783492,125643.0,115741.0
1.7936,125715.0,115767.0
1.803704,125791.0,115790.0
1.813484,125851.0,115817.0
1.823592,125908.0,115840.0
1.833704,125964.0,115855.0
1.843488,126014.0,115874.0
1.853584,126062.0,115901.0
1.863692,126101.0,115916.0
1.873472,126150.0,115933.0
1.88358,126179.0,115949.0
1.89368,126205.0,115957.0
1.90346,126228.0,115965.0
1.913572,126246.0,115979.0
1.923676,126263.0,115982.0
1.933456,126291.0,115992.0
1.943564,126319.0,116010.0
1.953668,126349.0,116020.0
1.96346,126376.0,116024.0
1.973556,126423.0,116044.0
1.983656,126460.0,116064.0
1.993444,126502.0,116076.0
2.003548,126545.0,116095.0
2.013648,126582.0,116119.0
2.023436,126617.0,116135.0
2.03354,126665.0,116148.0
2.043336,126696.0,116167.0
2.053436,126726.0,116176.0
2.063544,126761.0,116185.0
2.073324,126804.0,116200.0
2.08344,126838.0,116216.0
2.093552,126882.0,116225.0
2.10334,126927.0,116242.0
2.113448,126971.0,116264.0
2.123552,127003.0,116273.0
2.133344,127041.0,116285.0
2.143444,127080.0,116298.0
2.153232,127115.0,116316.0
2.163344,127147.0,116329.0
2.173448,127197.0,116341.0
2.183228,127243.0,116369.0
2.193332,127297.0,116386.0
2.203448,127342.0,116405.0
2.213232,127381.0,116427.0
2.223328,127413.0,116439.0
2.233428,127438.0,116439.0
2.24322,127435.0,116429.0
2.253324,127390.0,116407.0
2.263424,127296.0,116362.0
2.273204,127165.0,116302.0
2.283316,126988.0,116229.0
2.293428,126780.0,116144.0
2.303216,126569.0,116054.0
2.313324,126363.0,115970.0
2.323112,126151.0,115888.0
2.333216,125969.0,115818.0
2.343328,125810.0,115762.0
2.353108,125692.0,115722.0
2.36322,125613.0,115694.0
2.37332,125564.0,115677.0
2.3831,125541.0,115674.0
2.393208,125539.0,115675.0
2.403308,125543.0,115671.0
2.413092,125567.0,115680.0
2.4232,125602.0,115701.0
2.433304,125645.0,115711.0
2.443084,125690.0,115730.0
2.453192,125747.0,115756.0
2.463296,125795.0,115782.0
2.47308,125858.0,115802.0
2.483184,125911.0,115827.0
2.493284,125966.0,115851.0
2.503072,126018.0,115869.0
2.513176,126067.0,115891.0
2.52328,126102.0,115904.0
2.53306,126132.0,115912.0
2.543168,126146.0,115921.0
2.553276,126146.0,115924.0
2.563052,126140.0,115921.0
2.573156,126140.0,115919.0
2.582944,126123.0,115918.0
2.593048,126116.0,115912.0
2.603152,126111.0,115906.0
2.612932,126102.0,115903.0
2.62304,126098.0,115899.0
2.633148,126111.0,115902.0
2.642924,126116.0,115900.0
2.653032,126135.0,115909.0
2.66314,126148.0,115914.0
2.67292,126174.0,115922.0
2.68302,126192.0,115932.0
2.693132,126219.0,115936.0
2.702912,126252.0,115949.0
2.713016,126284.0,115964.0
2.72312,126316.0,115979.0
2.732904,126357.0,115992.0
2.743012,126402.0,116012.0
2.753116,126436.0,116031.0
2.762896,126475.0,116045.0
2.773008,126516.0,116059.0
2.783108,126545.0,116075.0
2.792904,126588.0,116090.0
2.803004,126631.0,116105.0
2.812784,126673.0,116130.0
2.8229,126714.0,116153.0
2.833008,126761.0,116170.0
2.842788,126799.0,116190.0
2.852904,126834.0,116210.0
2.863008,126864.0,116218.0
2.872788,126891.0,116231.0
2.882896,126890.0,116235.0
2.892996,126869.0,116223.0
2.90278,126815.0,116185.0
2.912884,126697.0,116144.0
2.922996,126553.0,116076.0
2.93278,126374.0,116005.0
2.942896,126178.0,115924.0
2.952692,125967.0,115842.0
2.962792,125758.0,115757.0
2.972892,125569.0,115676.0
2.982676,125398.0,115615.0
2.992788,125263.0,115565.0
3.002892,125167.0,115527.0
3.012672,125104.0,115506.0
3.022776,125074.0,115503.0
3.032888,125081.0,115508.0
3.04268,125099.0,115514.0
3.052796,125128.0,115531.0
3.0629,125170.0,115550.0
3.072684,125224.0,115571.0
